uid,held,held_source
2026 INSC 159,"CLU dated 13.12.2021 could not have been granted for the proposed unit when, under the operative Master Plan for Sangrur, the site fell in a rural agricultural zone where the proposed activity was not permissible - Permission must be lawful when it is granted - It cannot be rendered lawful by a later event unless the PRTPD Act itself so provides - “Approval” recorded on 05.01.2022 could not lawfully cure the defect in the CLU dated 13.12.2021, and it is not capable, in law, of operating as an alteration or amendment of the Master Plan under the PRTPD Act - Approach adopted by the High Court, which treated the subsequent approval as curing the illegality of the CLU, cannot be accepted when the statutory structure does not permit legality to be supplied to an act which was unlawful when done, by a later administrative approval which does not itself satisfy the mandatory requirements governing alteration or revision of the Master Plan - High Court’s approach, which proceeded on the premise that an act lacking statutory backing on the date of its issuance may nonetheless be sustained by a subsequent ex post facto approval, is inconsistent with this statutory structure - Siting norms and safeguards, including the PPCB notification dated 02.09.1998 and the regulatory discipline underlying prior environmental clearance under the EIA Notification, 2006, not complied with in the manner required by law - Proposed control systems and future-stage compliances cannot substitute the obligation to satisfy siting norms and the discipline underlying prior environmental clearance at the relevant time - Nor can subsequent material or later regulatory developments be invoked to retrospectively validate the legality of permissions already found to be without statutory foundation - Thus, judgment and order passed by the High Court set aside - Change of Land Use granted in favour of respondent no.9 quashed. [Paras 9-36] Harbinder Singh Sekhon & Ors. v. The State of Punjab & Ors. Environmental law - Reclassification from “Red” category to “Orange” category - Revised industrial sector categorisation issued by the CPCB in January, 2025 - Reclassification of “stand-alone grinding unit without CPP (Captive Power Plant) from “Red” category to “Orange” category with the consequential relaxation of siting and regulatory safeguards brought about by Notifications GSR 84E dt 29.01.2025 and GSR 85E dt 30.01.2025 - Sustainability: Held: Revised categorisation and the consequential regulatory relaxations elevate a generic classification methodology to a position where it overrides preventive environmental safeguards, without adequate regard to exposure risks, local conditions, or the constitutional obligation to protect life and health - Such an approach is inconsistent with the precautionary principle, the doctrine of sustainable development, and the content of Art.",headnote
2026 INSC 16,"It is the specific case of the appellant that the Corporation lacks jurisdiction to institute the departmental proceedings against him in absence of any provision in 1992 Regulations - Per contra, the Corporation has tried to make out a case on the anvil of r.110 - It is pertinent to note that, in the present case, in furtherance to r.110 of 1992 Regulations, no board decision/order/notification * Author adopting 1982 Pension Rules in toto for the employees of the Corporation has been brought on record - In the context of the provision of r.27, it cannot be made applicable ipso facto until the Board of Directors has taken a conscious decision specifying the circumstances and making similar benevolent provision as made in 1982 Pension Rules; or having sanction of the Government as required u/r.27(2) (b)(i) for instituting or continuing the proceedings in the contingency as specified applying the Regulations - The usage of the word ‘shall’ in r.27(2)(b)(i) implies that the requirement of sanction from the Government prior to institution of departmental enquiry is mandatory in nature for each case - Such mandate cannot be diluted or by-passed by the Corporation under the pretext of general sanction or general practice - Thus, the irresistible conclusion can be drawn that the Corporation had no jurisdiction to institute the departmental proceedings against the appellant for the alleged misconduct and to direct recovery against him applying 1982 Pension Rules - The impugned departmental proceedings against the appellant is hereby quashed and the Corporation is directed to release all the retiral benefits to the appellant. [Paras 21, 27, 30, 31]",headnote
2026 INSC 167,"What is evident from the facts of the case is that the University from which the appellants had studied had been set up under the 2002 Act enacted by the Chhattisgarh State Legislature - The aforesaid Act was declared to be ultra vires by this Court vide order dated 11.02.2005 - Till such time, the students had been * Author Priyanka Kumari and Ors. v. The State of Bihar and Ors. studying and passing out - At the time of declaration of the said Act to be ultra vires, this Court had protected the students who were still studying - They were directed to be transferred to alternative institutions recognized by the State - Considering the aforesaid fact and also that in the factual situation in hand, the appellants cannot be said to be at fault as they had studied in the University, which has been set up under the 2002 Act enacted by the State Legislature - Hence, they should not be deprived of the benefits of the degree obtained by them while studying in the University - It is not the case of the State that the University in which the appellants studied was bogus or no study was actually imparted - Accordingly, the orders vide which the services of the appellants were terminated is declared as illegal - Appellants are directed to be reinstated back in service, with continuity - However, they are not entitled to any back wages. [Paras 16-18]",headnote
2026 INSC 21,"Requirement of issuance of notice u/s.10(5) is mandatory and must be issued to the persons actually in possession of the concerned land - This is clear from the wording of the statute- order any person who may be in possession of it - Importance of delivering notice lay in avoiding a situation where a person is “dispossessed” without notice which would be in violation of the principles of natural justice, thereby clearly envisioning that the possessor must be served with notice - As per the provisions of s.10(3) and 10(5), the subject land, despite having ‘vested’ in the State Government, was not in the possession of the Government - Possesion of the land continued with the appellant - Proviso to s.4 not applicable and the benefit of abatement under the section would apply - Legislative intent is that in cases where lands were deemed to have been vested but possession was not yet transferred as on date of enforcement of the Repealing Act, the lands were to remain in possession of the private parties - Vesting and possession are distinct and that without the latter, the private parties have a claim over continuing to be in possession - On the date of issuance of notice, the appellants as possessors did not receive the notice - It was sent to the erstwhile owner of the subject land - This also implies that the respondents also were aware of the fact that actual possession was not with them and there was a need to issue notice u/s.10(5) before taking over actual possession - However, the respondents did not ascertain as to in whose name actual possession stood - Thus, no notice was issued to the appellants and hence there being no transfer of possession in accordance with s.10, it continues with the appellants both in fact as well as in law - Hence, entitled to the benefit of s.4 of the Repealing Act as they do not fall within the scope of s.3 of the said Act which is the savings clause - Omission to issue notice to the appellants violated the mandatory requirement of serving notice u/s.10(5) and meant that the legal process of acquiring possession was still ongoing, leading to abatement of proceedings u/s.4 of the Repealing Act on its enforcement - Abatement of proceedings is by operation of law based on the facts of each case and once the proceedings u/s.10 abate, the consequential reliefs would have to be granted to the appellants - Hence, the appellants entitled to all consequential reliefs pursuant to the abatement of the proceedings u/s.4 of the Repealing Act as the case of the appellants squarely falls within the scope of the provision - Division Bench of the High Court not right in holding that the appellants not in possession of the subject land on the date on which the ULC Act came into force and were illegal occupants; and that although the electricity bills showed the name of the appellants, it did not establish their possession u/s.10(5) - Impugned orders of the High Court set aside. [Paras 18.1, 18.3, 19.2-19.4, 22 22.1-22.9, 23]",headnote
2026 INSC 211,"The High Court has committed no error in rendering the impugned judgments - The appellate court may permit additional evidence only upon being satisfied that the conditions expressly stipulated under Order XLI Rule 27 of CPC are fulfilled - The parties do not possess any vested or automatic right to seek admission of additional evidence at the appellate stage - The appellant-plaintiffs were, from the outset, fully aware that the respondent-defendants had not been impleaded as parties in the earlier civil suit instituted by their predecessors - Having founded their claim upon a decree which was non-est insofar as the respondent-defendants were * Author concerned, it was impermissible for the appellant-plaintiffs to seek to introduce additional evidence at the appellate stage to cure the inherent defects in their case - The present suit being one for declaration of title, it was incumbent upon the appellant- plaintiffs, if they indeed possessed a valid title, to adduce their best and complete evidence at the stage of trial before the court of first instance, where such evidence could have been produced as a matter of right - Further, even at the stage of the earlier suit instituted by the predecessors-in-interest of the appellant-plaintiffs, their consistent case was one of lawful title to the suit property - No plea of adverse possession was ever raised - The additional evidence, namely, the entries in the General Land Register, is a mere recording of the land in suit as private land in the GLR does not in any manner benefit the appellants claim of ownership - Whereas, the respondent-defendants have traced their title to the decision of the Union of India dated 17.07.1953, pursuant to which the suit land, along with other immovable properties, vested in the respondent-defendants in terms of title, ownership and possession - The application for additional evidence was thus rightly rejected by the High Court. [Paras 11, 11.4, 11.8, 11.10, 11.11, 11.15] Code of Civil Procedure, 1908 - Or.XLI, r.27: Held: Rule 27, being couched in negative terms, makes it abundantly clear that parties to an appeal are not entitled to adduce additional evidence, whether oral or documentary, save and except in the circumstances expressly enumerated therein - The provision contemplates only three eventualities in which additional evidence may be permitted: first, where the court which passed the decree has refused to admit evidence which ought to have been admitted; second, where the party seeking to adduce such evidence establishes that, notwithstanding the exercise of due diligence, the evidence was not within its knowledge or could not have been produced at the time when the decree under appeal was passed; and third, where the appellate court itself requires any document to be produced or any witness to be examined in order to enable it to pronounce judgment or for any other substantial cause. [Para 11.3]",headnote
2026 INSC 213,"Notice not vitiated by non-disclosure or mis-disclosure merely for reason of the valuation and fairness report not being placed before the shareholders as there was no statutory mandate for a valuation report for the reduction of a share capital - Valuation in the process of reduction of capital was resorted to by the company only to arrive at a fair value and the fair value arrived, after the deduction of tax was disclosed in the notice and the method adopted itself was kept open for verification by the identified shareholders at the registered office - It was disclosed fully in the proceedings before the NCLT where the investors objected, despite the special resolution having been passed with a thumping majority - Reduction of share capital can be achieved by a special resolution and confirmation * Author by the tribunal, without a report of valuation from an approved/ registered valuer and hence, it does not fall within the ambit of a relevant material; without the full and complete disclosure of which the reduction of capital cannot be acted upon - However, company despite any legal requirement adopted a valuation exercise, which was further affirmed in a fairness evaluation by a different agency, both of which reports were retained in the Registered Office of the Company, kept open for verification by the investors - Thus, no procedural infraction or misleading disclosure to style the notice as ‘tricky notice’ - Notice contains the full disclosure as required in a measure employed for reduction of share capital u/s.66, which is the price offered by the company which translates as an exit option for the identified shareholder - Furthermore, appointment as an internal auditor, does not bring in a bias with respect to the activities of the company which would essentially go against the scope and spirit of an audit carried out of the accounts of the company as an inhouse verification, which is also a statutory requirement, available for scrutiny before a statutory auditor - Not even a probability found that the internal auditor would act in a biased manner, leave alone the valuation agency which is an affiliate of the former - Plea that arbitrarily and without legal sanction, the method of Discount for Lack of Marketability-DLOM was applied to further reduce the value of share, cannot be accepted - Applicability of DLOM cannot be held invalid and in any event, what has to be looked at by the tribunal in scrutinising the scheme of reduction of capital is only as to whether there was a fair measure employed which cannot be termed unreasonable or prejudicial to the individual shareholders - Fair and reasonable value was offered to the minority shareholders and the majority of the identified shareholders present and voting, voted in favour of the resolution - Even on a microscopic scrutiny the valuation cannot be found to be egregiously wrong especially looking at the previous offers and also the rights issue offered at par, prior to the reduction of share capital, exponentially increasing the take aways of the individual shareholders and the valuation cannot at all be said to have gone off-track, so as to make it egregiously wrong - Appellants were seasoned retail investors who made a calculated decision - Valuation is an exercise best left to experts, and the Court found no blatant unfairness - Furthermore, plea as regards the jurisdictional defect on the composition of the NCLAT and the status-quo order cannot be accepted. [Paras 29, 32, 34, 38, 46, 48, 50] Pannalal Bhansali v. Bharti Telecom Limited & Ors. Companies Act, 2013 - s.66 - Reduction of share capital - Requirements - Explained. [Para 47]",headnote
2026 INSC 216,"Sugarcane Growers Cooperative Societies, Bajpur and Gadarpur are not Multi-State Cooperative Societies under the 2002 Act - Residence of the members or the geographical spread of activity cannot substitute the statutory requirement that principal objects must themselves be Multi States in character - In the instant appeals on careful scrutiny of bye-laws, it is evident that the object of the society are confined to safeguarding and promoting the interests of local canegrowers and their objects do not evince any intention to serve the members across the State boundaries - In view of the statutory scheme and chronology of events, decisions taken to reorganize the societies on bifurcation of erstwhile State of Uttar Pradesh are valid in view of ss.87 and * Author 93 of Reorganisation Act - s.103 of 2002 Act neither operates automatically nor could it retrospectively invalidate the completed actions undertaken under the Reorganisation Act - Provisions contained in two statutes must be, if possible, interpreted in a harmonious manner to give full effect to both the statutes - The overriding effect of Reorganisation Act and effect of s.103 of the 2002 Act necessitates a harmonious construction by which operation of legal fiction has to be restricted, in cases where action for reorganisation of the Societies has already been taken and in respect of the Society whose objects and area of operation are confined to a single State - A deeming provision u/s.103 of 2002 Act cannot unsettle such completed action for reorganisation, by virtue of ss.87 and 93 of the Reorganisation Act - In the absence of multiple State objects in the bye-laws of the Societies, the same cannot be treated as Multi-State Cooperative Societies, as statutory pre-conditions for invoking s.103 of 2002 Act are absent - Judgment dtd.14.03.2007 passed by the High Court is quashed and set aside while the judgment dtd.05.09.2006 passed in C.A. No.8746 of 2013 by High Court is upheld - Authorities under the State Cooperative law shall take steps to conduct the elections of the Societies expeditiously - U.P. Cooperative Societies Act, 1965 - Interpretation of Statutes. [Paras 23, 24, 26] Multi-State Cooperative Societies Act, 2002 - s.103 - Deeming fiction under - Legal fiction is confined to the purpose for which it is created and cannot be extended beyond its legitimate field: Held: s.103 of 2002 Act introduces a deeming fiction, whereby certain societies affected by reorganisation may be treated as Multi-State Cooperative Societies - A legal fiction must be strictly confined to the purpose for which it is created and cannot be extended beyond its legitimate field - Legal fictions are crafted tools, precise in purpose and limited in reach - The deeming fiction created u/s.103 of the 2002 Act cannot, in any case be construed in isolation so as to override the express statutory scheme contained in Reorganisation Act, which is an enactment governing all legal, administrative and institutional consequences arising from bifurcation of erstwhile State of Uttar Pradesh - The Reorganisation Act has also a non-obstante clause i.e., s.93 - The deeming fiction which though provides for a contingency on bifurcation of State, embodied in s.103 of 2002 Act, did not apply in view of decision Registrar Cane Cooperative Societies & Ors. v. Gurdeep Singh Narval (Dead) Through Lrs. & Ors. taken for reconstitution of the societies under the Reorganisation Act - Uttar Pradesh Reorganisation Act, 2000 - s.93. [Para 22] Multi-State Cooperative Societies Act, 2002 - s.103 - Uttar Pradesh Reorganisation Act, 2000 - ss.87, 93 - Interplay between the Acts - Doctrine of Legislative Continuity - Constitution (Ninety-Seventh Amendment) Act, 2011 - Amendment Act No.11 of 2023. [Paras 13-21]",headnote
2026 INSC 218,"Constitution does not view the right to life solely through the lens of fault - Art.21 embodies a positive obligation of the State to ensure that where grave harm is alleged to have occurred in the course of a State led public health intervention, affected families are not left without any accessible mechanism of redress - The Union of India shall, through the Ministry of Health and Family Welfare, frame a no-fault compensation policy for serious adverse events following COVID-19 vaccination - The existing mechanisms for monitoring adverse events following immunisation shall continue, and relevant data shall be periodically placed in the public domain in accordance with the observations in Jacob Puliyel - No separate court-appointed expert body is necessary in view of the existing mechanisms for scientific assessment of adverse events following immunisation - Clarified, this judgment shall not preclude any person from pursuing such other remedies as may be available in law - Equally, the formulation of the no-fault framework is not to be construed as an admission of liability or fault on the part of the Union of India or any authority. [Paras 20, 38] * Author Constitution of India - Art.21 - Right to Life - Deaths allegedly after administration of COVID-19 vaccination - Writ petitions filed seeking inter alia, the constitution of an independent expert medical board to inquire into such deaths, the formulation of protocols for early detection and treatment of adverse events following immunization (AEFI), and the grant of compensation - In one of the writ petitions filed before the High Court of Kerala raising similar grievances, High Court passed interim directions to the Ministry of Health and Family Welfare and the National Disaster Management Authority to formulate a policy for identification of AEFI cases and for compensating the families of such deceased persons - Challenge to: Held: Present petitions raise serious questions of violation of fundamental rights, more particularly that of right to life - Constitution does not view the right to life solely through the lens of fault - Art.21 embodies a positive obligation of the State to ensure that where grave harm is alleged to have occurred in the course of a State led public health intervention, affected families are not left without any accessible mechanism of redress - The absence of such an institutional framework raises constitutional concerns which warrant a calibrated response - Government data itself suggests that the vaccines also led to loss of life - Thus, State cannot shrug its responsibility in coming to aid to those affected families who have lost their near and dear ones - In Jacob Puliyel, this Court underscored the responsibility of the State in monitoring adverse events following immunisation - That responsibility cannot end at surveillance alone, but must extend to providing fair compensation to those who suffered vaccine-related injury - Union of India shall continue to ensure that surveillance of adverse events following immunisation (AEFI) is carried out through efficient monitoring mechanisms, and that relevant data is placed in the public domain in a transparent and timely manner - Directions issued for formulation of no-fault compensation framework to address serious adverse events following immunisation arising in the context of COVID-19 vaccination - Public Health. [Paras 12, 20, 25, 34, 35, 38] Public Health - Constitution of India - Arts.21, 14 - Right to health u/Art.21 - Obligation of State - Vaccine injury claims - Plea of the Union that individuals aggrieved by adverse outcomes may seek remedies before civil courts or consumer fora on the grounds of negligence-based principles. Rachana Gangu & Anr. v. Union of India & Ors.",headnote
2026 INSC 219,"The impugned Act authorises the State to take over the Institute & Library in its entirety, dissolving existing legal arrangements and divesting long-standing rights, without any * Author demonstrated necessity, objective criteria, or prior inquiry - The manner in which this power is exercised is excessive, unreasoned and disproportionate to the stated object of “better management and development” - This Court is of the view that Srimati Radhika Sinha Institute and Sachchidanand Sinha Library (Requisition & Management) Act, 2015 is manifestly arbitrary and violative of Art.14 of the Constitution of India - Further, the scheme of the Act permits deprivation of property without adherence to basic requirements of fairness and due process - The absence of any principled or meaningful framework for compensation underscores the arbitrary character of the legislative measure - While Art.300A permits deprivation of property by authority of law, such law must be fair, reasonable and non-confiscatory - The impugned Act fails to meet this standard - The Srimati Radhika Sinha Institute and Sachchidanand Sinha Library (Requisition & Management) Act, 2015 is unconstitutional and is accordingly struck down - Accordingly, the Trust governing the Institute & Library, together with its rights of management and administration, shall stand restored to its pre-existing legal position prior to the enactment of the impugned Act - This shall not preclude the State Government from providing financial assistance, administrative support or regulatory oversight in accordance with law. [Paras 50-53] Trust - Public Trust - Determination of legal character: Held: The fact that an institution is intended to serve a public purpose or is open to public use does not, by itself, conclusively determine that the trust is a public trust in law - The legal character of a trust depends on several factors, including the manner in which the dedication is made, the structure of the trust, the nature of control and management, and the rights reserved by the Settlor and his successors under the trust deed - A public-facing object, standing alone, is not determinative. [Para 19] Constitution of India - Art.14 - Principle of equality - Evolution of - Discussed. [Paras 23-34] Constitution of India - Art.14 - Equality before the law is not a mere formal concept: Held: The guarantee by Art.14 strikes at arbitrariness in State action and ensures that the exercise of legislative power is informed by reason, fairness and non-discrimination - Equality before the law is not a mere formal concept; it embodies the principle that State Anurag Krishna Sinha v. State of Bihar & Anr. action, whether legislative or executive, must be based on rational criteria and must not operate in an arbitrary or capricious manner - From an early stage, this Court has interpreted this guarantee not merely as a prohibition against formal discrimination, but as a constitutional injunction against arbitrariness in State action - The evolution of this principle is traceable through a consistent line of authorities. [Para 23] Constitution of India - Art.14 - Arbitrariness - A ground to strike down legislation: Held: The principle that arbitrariness is antithetical to equality now operates as a firm substantive constitutional limitation on legislative power - Manifest arbitrariness is a ground available to this Court to strike down legislation under the judicial review of Art.14 - It is acknowledged that this power must be exercised with care and restraint, so as to maintain the constitutional balance between the legislature and the judiciary - However, where clear and substantive unreasonableness is embedded in a legislative enactment, the Court is not only empowered but obliged to intervene.",headnote
2026 INSC 22,"An auction process has a sanctity attached to it and only for valid reasons that the highest bid can be discarded in an auction which is otherwise held in accordance with law - If a valid bid has been made which is above the reserve price, there should be a rationale or reason for not accepting it - Therefore, the decision to discard the highest bid must have a nexus to the rationale or the reason - Merely because the authority conducting the auction expected a higher bid than what the highest bidder had bid cannot * Author be a reason to discard the highest bid - In the instant case, no other party had placed a bid higher than the appellant herein - There was no infirmity in the conduct of the auction - No other party had complained about the process of auction conducted by the GDA-respondent no.2 - The bid offered by the appellant herein was the highest and above the reserve price - In the circumstances, the said bid ought to have been accepted by GDA- respondent no.2 rather than cancelling the same without notice to the appellant herein - Hence, the cancellation of the bid submitted by the appellant herein is quashed - The impugned orders of the High Court dated 24.05.2024 and 15.07.2024 passed in the respective writ petitions are set-aside - The appellant is directed to re-deposit the earnest money - After the re-deposit of the earnest money, the GDA-respondent no.2 shall make an order of allotment of the subject plot in favour of the appellant herein and take all consequential steps for concluding the auction process in favour of the appellant herein. [Para 33]",headnote
2026 INSC 220,"Nomenclature is not determinative of constitutional entitlement - Where employees appointed on an “academic arrangement” basis are similarly situated to those engaged on * Author ad hoc, contractual or consolidated basis in terms of duties, tenure, conditions of service and mode of appointment, denial of equal treatment solely on the basis of nomenclature is impermissible u/Art.14 of the Constitution of India - The exclusion u/s.3(b) of the 2010 Act does not satisfy the test of reasonable classification - It lacks an intelligible differentia and bears no rational nexus with the object of the Act, which is to regularize long-standing irregular appointments, and therefore results in invidious discrimination qua appointments on academic arrangement basis - Fulfilment of statutory conditions u/s.5(i) to (v) of the 2010 Act is determinative of eligibility for regularization - Once such conditions are satisfied, the nature of the initial engagement, whether academic arrangement, ad hoc, contractual or consolidated, ceases to have any legal relevance - The second proviso to s.5 of the 2010 Act is a beneficial provision and must receive purposive interpretation - Any construction which defeats the legislative intent of protecting employees who subsequently complete the qualifying service period is constitutionally unsustainable - State, as a model employer, cannot adopt artificial classifications to deny statutory benefits - Repackaging contractual engagements under a different nomenclature, while denying regularization, violates the equality mandate u/Arts.14 and 16 - Judgments passed by the High Court set aside - s.3(b) of the 2010 Act, insofar as it excludes employees appointed on an academic arrangement basis from consideration for regularisation despite fulfilment of conditions u/s.5 of the Act, is unconstitutional and violative of Art.14 of the Constitution - Respondent-State to consider the cases of the appellants for regularisation in accordance with s.5 of the 2010 Act, without reference to the nomenclature of their initial appointment - Jammu and Kashmir Contractual Appointment Rules, 2003. [Paras 12, 13.1, 13.2, 13.3] Jammu and Kashmir Medical and Dental Education (Appointment on Academic Arrangement Basis) Rules, 2009 - Jammu and Kashmir Contractual Appointment Rules, 2003 (SRO of 2003) - State to act as a model employer and not as a hard-bargaining negotiator: Held: State is expected to act as a model employer and not as a hard-bargaining or avaricious negotiator - The manner in which the respondent-State proceeded to issue the impugned SRO of 2009, disapproved - Undisputedly, SRO of 2003 was already in Abhishek Sharma v. The State of Jammu and Kashmir & Ors.",headnote
2026 INSC 225,"Impugned judgment set aside - Respondent was charged in respect of the offences u/ss.363, 366, 366/120B, 366A, 376(2)(c), IPC which were the offences in the nature of grave moral turpitude - Respondent was found to be involved in the serious offences such as kidnapping and abducting a minor girl and raping her, which was a conduct undoubtedly amounting to moral turpitude - The respondent, though acquitted in the criminal * Author The State of Madhya Pradesh & Ors. v. Rajkumar Yadav case, was exonerated only on the ground of benefit of doubt - Division Bench of the High Court intruded into the functional realm of the screening committee and trampled upon its discretion which was validly exercised by the Committee to treat the respondent unsuitable to be employed in the police force - The domain of considering the fitness and suitability of a candidate for the purpose of taking him in service belongs to the employer - But for the limited considerations namely arbitrariness, unreasonableness, whimsicalness or mala fide approach, the scope of judicial review on this score is extremely limited - Moreover, the quality of law and order in the society and maintenance thereof depends upon the character of the persons serving in the police force - It becomes imperative that the recruitees in the disciplined force should be the persons beyond reproach and men with rectitude. [Paras 9, 9.1, 10] Service Law - Suitability of candidate, wisdom of the employer - Scope of judicial review, extremely limited: Held: The domain of considering the fitness and suitability of a candidate for the purpose of taking him in service belongs to the employer - A host of relevant consideration would legitimately find a place in the process of such consideration by the employer to decide whether it is feasible and advisable to offer employment to an aspirant - Where the employer or the screening committee of the employer has acted to discard, exclude or reject the candidature by applying relevant considerations and has not acted arbitrarily or whimsically, the courts have no role to interpose - But for the limited considerations namely arbitrariness, unreasonableness, whimsicalness or mala fide approach, the scope of judicial review on this score is extremely limited - Courts are not expected to override the wisdom of the employer in judging the suitability of a candidate and in considering the relevance of the antecedents of the candidate and would not substitute its own view. [Paras 7.3, 9] Service Law - Antecedents of a candidate - Role in the decision- making process by the employer - Scope of discretion: Held: In service law jurisprudence, mere involvement of a person in an offence or in a conduct amounting to moral turpitude without anything else may become relevant consideration to judge his fitness to the post and to assess credentials for allowing such a person into the employment - Every moral turpitude has its own 450",headnote
2026 INSC 228,"1. In the facts of this case, it cannot be said that the Arbitral Tribunal has been improperly constituted in derogation of the * Author arbitration agreement, or that the interpretation of the arbitration clause as made by the Arbitral Tribunal has resulted in any patent illegality, which would warrant setting aside of the award - As such, the High Court has rightly decided not to interfere with the arbitral award u/s.34(2)(a)(v) or s.34(2A) while rejecting the application to set aside the award. [Para 37] 2. The MCGM raised their objection for the first time, addressing the letter dated 20.02.2009 to the Presiding Arbitrator, alleging that his appointment is a ‘nullity’ since the Co-Arbitrators had not succeeded in appointing the third arbitrator within 30 days and therefore had no power to appoint - In the facts of this case, beyond 30 days from the date of appointment of the second Arbitrator, i.e. 07.10.2005, the MCGM agreed to attempt mediation / conciliation by its letter dated 07.01.2006 and then informed the Co-Arbitrators about there being no mediation / conciliation by its letter dated 15.12.2006 - MCGM passively sat idle while three different persons were appointed as the Presiding Arbitrator under Clause 8.3(b) of the Agreement by the Co-Arbitrators, without any demur. [Paras 54, 63] 3. In the present case, the MCGM was completely aware about the non-compliance of a contractual requirement under the arbitration agreement - It proceeded with the arbitration process without any demur, agreed to keep the arbitration proceedings in abeyance to pursue other methods of dispute resolution (mediation / conciliation), and did not object to such non-compliance on three different occasions when such alleged non-compliance took place - In such a case, filing of an application u/s.16 of the 1996 Act cannot regularize or condone its conduct and such conduct is a relevant consideration to decipher its understanding of the contractual terms while deciding the s.16 application on merits by the Tribunal even in the absence of statutory waiver u/s.4 being attracted - A party cannot keep a ‘jurisdictional ace’ up their sleeve and then claim that filing of the jurisdictional challenge u/s.16 would go back in time and wipe out the past conduct and acquiescence of the party which would clearly evince how the contractual terms were viewed by the parties - If the same is permitted, it will erode the basic principles of alternative dispute resolution and ethos of arbitration. [Paras 66, 67] Arbitration and Conciliation Act, 1996 - ss.16, 4 - Conduct, Acquiescence and waiver - Discussed. [Paras 39-42, 55, 56] Municipal Corporation of Greater Mumbai v. M/s R.V. Anderson Associates Limited",headnote
2026 INSC 229,"From the plain language used in the Regulation, it is evident that seniority is to be counted from the placement of a candidate in the merit list which is prepared at the time when recruitment takes place - As provision has been made for two years’ probation after selection, different candidates may join on different dates during the permitted joining time - Period of probation he had to undergo will remain two years from the date he joins duty - Merit will not affect completion of probation - Training is a part of service which is imparted after an incumbent joins duty - Even Regulations treat this as a part of duty - Merely payment of consolidated sum during the period of training and regular scale when the probation starts will not make any difference - That is why Regn 97 does not say anything to the contrary to what is clearly provided in Regns 10(9) and 87 - No Regulation cited from which it can be inferred that the seniority is to be counted from the date a candidate starts his probation - Anything said either in the appointment letter or in any of the BPs which runs contrary to the plain language of Regn 10(9) * Author M. Thanigivelu and Ors. v. Tamil Nadu Electricity Board and Ors. and 87 will not stand in the way for this Court to form an opinion that the seniority of a direct recruit is to be counted from the first date of their joining after which they were sent for training - Period thus, is irrelevant, it may change from time to time - Impugned judgment passed by the High Court set aside - Opinion expressed by the Division Bench that the seniority will commence from the date the candidate starts his probation totally erroneous and not supported by the plain language used in Regulations. [Paras 19-25]",headnote
2026 INSC 230,"No infirmity in the impugned judgments - Determination of creamy layer status solely on the basis of income brackets, without reference to the categories of posts and status parameters enunciated in the 1993 OM is unsustainable in law - Overemphasis on the 2004 clarificatory letter to the extent of making income alone determinative without regard to parental status or category of service would defeat the structural framework of exclusion envisaged under the 1993 OM - Under the 1993 OM, salary income and agricultural income are consciously kept outside the common pool while determining exclusion under the Income/Wealth Test - A mere government letter cannot have the effect of overriding, overruling or superseding any proceeding in the nature of an executive instruction or an Office Memorandum issued in exercise of executive power u/Art.162 - Therefore, the clarificatory letter must be construed strictly as one explaining or supplementing the foundational guidelines laid down in the 1993 OM, which was issued after due deliberation and following the requisite procedure and not as altering its substantive framework - Salary income cannot be mechanically aggregated in a manner that defeats the constitutional objective articulated in Indra Sawhney - A comprehensive reading of the 1993 OM along with the 2004 clarificatory letter shows that income from salaries alone cannot be the sole criterion to decide whether a candidate falls within the creamy layer - The status as well as the category of post to which a candidate’s parent or parents belong is essential - Mere determination of the status of a candidate as to whether he/she falls within the creamy layer or the non-creamy layer of the OBCs cannot be decided solely on Union of India and Others v. Rohith Nathan and Another, Etc. the basis of the income - Any attempt to read paragraph 9 of the 2004 Letter in isolation, so as to dilute or override the substantive scheme of the 1993 OM would be legally untenable - Appellants to consider the claims of the respondent candidates and intervenors in accordance with the principles laid down in the present judgment, and to implement the same within six months from the date of this judgment. [Paras 21.15, 21.17, 26, 30, 31, 44] Reservation - OBC reservation - Creamy layer status - Whether there can be hostile discrimination between employees of the Government and those working in Public or Private Sector Undertakings, when both occupy posts of the same grade or class: Held: Treating similarly placed employees of private entities and PSUs differently from Government employees and their wards, while deciding their entitlement to reservation, would amount to hostile discrimination, as rightly held by the High Court - Treating the children of those employed in PSUs or private employment, etc., as being excluded from the benefit of reservation only on the basis of their income derived from salaries, and without reference to their posts (whether Group A or B, or Group C or D) would certainly lead to hostile discrimination between parties who are similarly placed and would amount to equals being treated unequally, thereby attracting the rigour of the equality doctrine under Articles 14, 15 and 16, of which reservation is a facet - Art.16(4) is a structural reflection and a conceptualized representation of the principle of substantive equality embodied and envisaged u/Art.16(1) - Therefore, any interpretation of the 1993 OM or the 2004 Letter that results in unequal treatment of similarly placed OBC candidates would not only be legally erroneous but constitutionally impermissible.",headnote
